aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,rrp_price,saving,savings_percent,base_price,base_price_amount,base_price_text,product_price_old
https://www.awin1.com/pclick.php?p=43036517301&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 1200mm 3 Portas c Porta Temperos Carraro Freijó com Off White",43036517301,12501004,,,,423.9,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12501004,,,BRL423.9,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517302&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 2 Portas c Porta Temperos Carraro Branco",43036517302,12502001,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12502001,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517303&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 2 Portas c Porta Temperos Carraro Preto Touch",43036517303,12502002,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12502002,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517304&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 2 Portas c Porta Temperos Carraro Cinza Titânio",43036517304,12502003,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12502003,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517305&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 2 Portas c Porta Temperos Carraro Freijó com Off White",43036517305,12502004,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12502004,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517306&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 1 Porta Carraro Branco",43036517306,12503001,,,,271.73,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12503001,,,BRL271.73,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517307&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 1 Porta Carraro Preto Touch",43036517307,12503002,,,,271.73,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12503002,,,BRL271.73,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517308&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 1 Porta Carraro Cinza Titânio",43036517308,12503003,,,,271.73,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12503003,,,BRL271.73,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517309&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 800mm 1 Porta Carraro Freijó com Off White",43036517309,12503004,,,,271.73,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12503004,,,BRL271.73,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517310&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 2 Portas com Nicho de Canto Carraro Branco",43036517310,12505001,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12505001,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517311&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 2 Portas com Nicho de Canto Carraro Preto Touch",43036517311,12505002,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12505002,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517312&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 2 Portas com Nicho de Canto Carraro Cinza Titânio",43036517312,12505003,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12505003,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517313&a=3093907&m=81383,"Armário Aéreo de Cozinha Miami 2 Portas com Nicho de Canto Carraro Freijó com Off White",43036517313,12505004,,,,358.68,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12505004,,,BRL358.68,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517314&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Sem Tampo Carraro Freijó",43036517314,12506001,,,,510.86,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506001,,,BRL510.86,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517315&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Sem Tampo Carraro Branco",43036517315,12506002,,,,510.86,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506002,,,BRL510.86,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517316&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Com Tampo Carraro Branco",43036517316,12506003,,,,652.16,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506003,,,BRL652.16,111390,,,,,,,
https://www.awin1.com/pclick.php?p=43036517317&a=3093907&m=81383,"Balcão de Cozinha Miami 1200mm 2 Portas 3 Gavetas Com Tampo Carraro Freijó",43036517317,12506004,,,,652.16,"Carraro BR",81383,,,https://images2.productserve.com/noimage.gif,BRL,,,https://loja.carraro.com.br/produto/12506004,,,BRL652.16,111390,,,,,,,
